geo_name,smoking_2015,smoking_2016,id,state,poverty_2015,poverty_2016
"Belmont County, OH",0.21600000000000003,0.20600000000000002,39013,OH,0.145762763587537,0.1508493805960996
"Brown County, OH",0.363,0.209,39015,OH,0.148855050026573,0.16653521388141412
"Butler County, OH",0.22699999999999998,0.195,39017,OH,0.13946152417541904,0.13585162328505782
"Carroll County, OH",0.233,0.20199999999999999,39019,OH,0.1543991416309013,0.13973373741746942
"Champaign County, OH",0.191,0.196,39021,OH,0.12373816213966074,0.11193073321300584
"Clark County, OH",0.278,0.19899999999999998,39023,OH,0.182996103117506,0.17909324260239223
"Clermont County, OH",0.235,0.18600000000000003,39025,OH,0.10657230340847756,0.10533137084499189
"Clinton County, OH",0.19,0.204,39027,OH,0.15853628445234041,0.1519570411606769
"Columbiana County, OH",0.21600000000000003,0.209,39029,OH,0.15431553750465987,0.15755982846866787
"Coshocton County, OH",0.20800000000000002,0.20800000000000002,39031,OH,0.1608945017371643,0.13982804854449452
"Crawford County, OH",0.321,0.18100000000000002,39033,OH,0.16428946238610886,0.15717534410532616
"Cuyahoga County, OH",0.187,0.183,39035,OH,0.18743168073477573,0.18481639277743964
"Darke County, OH",0.18100000000000002,0.188,39037,OH,0.13260246377934454,0.12351784427873289
"Defiance County, OH",0.214,0.191,39039,OH,0.1340010041487197,0.13604413676029814
"Delaware County, OH",0.12300000000000001,0.14,39041,OH,0.045396762775202465,0.04850834425137997
"Erie County, OH",0.196,0.2,39043,OH,0.12422633071117678,0.1281763226876371
"Fairfield County, OH",0.19699999999999998,0.175,39045,OH,0.10340391169264881,0.10196318184905917
"Fayette County, OH",0.314,0.207,39047,OH,0.18448674613058175,0.1856923790164402
"Franklin County, OH",0.19699999999999998,0.187,39049,OH,0.17542758063430072,0.17051090280547798
"Fulton County, OH",0.255,0.182,39051,OH,0.10780722203720443,0.11180005723552418
"Gallia County, OH",0.305,0.22899999999999998,39053,OH,0.20892310795817504,0.21435581576364682
"Geauga County, OH",0.17,0.161,39055,OH,0.07485177865612648,0.06865806160878102
"Greene County, OH",0.16399999999999998,0.183,39057,OH,0.13598218320315023,0.12842505477509988
"Guernsey County, OH",0.297,0.21,39059,OH,0.19919136086800757,0.19848348541318597
"Hamilton County, OH",0.18899999999999997,0.196,39061,OH,0.18279645081603516,0.17811640888563965
"Hancock County, OH",0.188,0.19,39063,OH,0.1394520697465004,0.13465208855927582
"Hardin County, OH",0.305,0.207,39065,OH,0.18675600299299366,0.15625320260991357
"Harrison County, OH",0.342,0.201,39067,OH,0.17319601069030702,0.18086363039769
"Henry County, OH",0.204,0.185,39069,OH,0.11426909936759468,0.10169553460498429
"Highland County, OH",0.266,0.22,39071,OH,0.20209517545920044,0.2073812881993418
"Hocking County, OH",0.245,0.214,39073,OH,0.17359534619750283,0.16626781440868665
"Holmes County, OH",,0.20199999999999999,39075,OH,0.1269341108968631,0.12858010559267394
"Huron County, OH",0.31,0.183,39077,OH,0.13506122729774353,0.1287546987619409
"Jackson County, OH",0.27399999999999997,0.223,39079,OH,0.23549909032039223,0.2300503011861144
"Jefferson County, OH",0.293,0.21100000000000002,39081,OH,0.17592324236923593,0.1720813117975803
"Knox County, OH",0.207,0.2,39083,OH,0.1530789245446661,0.15565324668554847
"Lake County, OH",0.205,0.17600000000000002,39085,OH,0.08856546286854454,0.08505791864409779
"Lawrence County, OH",0.263,0.209,39087,OH,0.18252303052158805,0.184358462882672
"Licking County, OH",0.23,0.182,39089,OH,0.12706528141261908,0.1256565363856993
"Logan County, OH",0.218,0.201,39091,OH,0.1446183342250758,0.1398029622679445
"Lorain County, OH",0.214,0.182,39093,OH,0.14408330918821263,0.13974445602681074
"Lucas County, OH",0.223,0.20199999999999999,39095,OH,0.21145094247067908,0.20657229453337134
"Madison County, OH",0.254,0.19,39097,OH,0.0936755893973886,0.10608672936259143
"Mahoning County, OH",0.221,0.203,39099,OH,0.17997734914486413,0.1808776484975232
"Marion County, OH",0.259,0.21600000000000003,39101,OH,0.187721429294463,0.17423742577272497
